invoice_id,deal_id,invoice_type,invoice_date,invoice_due_date,paid_date,invoice_status,dunning_status,invoice_amount,delay_in_days,delay_bool,invoice_month,due_day,customer_id,deal_term,deal_monthly_amount,deal_signed_date,deal_deposit_amount,schufa_score,postal_code,date_of_birth,loyalty_status,schufa_group,deposit,deal_term_group,deal_monthly_amount_group,invoice_amount_group,age,age_group,due_day_group
in_1O7mTKDOkQuZ6Q4MH7uD6zgP,13603697748,monthly,2023-11-02,2023-11-09,2023-11-02,paid,,890.1,-7.0,False,11,9,82440551.0,12,890.1,06/06/2023,0.0,9963.0,1705.0,1973-11-02,platinum,"9,750 - 10000",False,7 - 12,500 - 999,500 - 999,50.0,50-59,8-12
in_1O7nOfHfRoBp5g8KUD0Y1NmJ,11646721872,monthly,2023-11-02,2023-11-09,2023-11-17,paid,successfull,969.0,8.0,True,11,9,349551351.0,12,969.0,10/01/2023,969.0,9088.0,83229.0,1973-11-12,,"9,000 - 9,249",True,7 - 12,500 - 999,500 - 999,49.0,40-49,8-12
in_1O7oQUDOkQuZ6Q4MBT7MOhO0,11649986667,monthly,2023-11-02,2023-11-09,2023-11-06,paid,,589.0,-3.0,False,11,9,371978552.0,13,589.0,11/01/2023,0.0,8946.0,,1972-03-26,gold,"8,500 - 8,999",False,13 - 18,500 - 999,500 - 999,51.0,50-59,8-12
in_1O7oQUDOkQuZ6Q4MKMB77v8t,10614218049,monthly,2023-11-02,2023-11-09,2023-12-08,paid,successfull,379.0,29.0,True,11,9,211957801.0,12,379.0,19/10/2022,0.0,8078.0,37242.0,1991-11-24,silver,"8,000 - 8,499",False,7 - 12,0 - 499,0 - 499,31.0,30-39,8-12
in_1O7oQUDOkQuZ6Q4MOnPmMKkE,11845624482,monthly,2023-11-02,2023-11-09,2023-11-06,paid,,379.0,-3.0,False,11,9,382430051.0,13,379.0,25/01/2023,0.0,9414.0,94372.0,1991-11-20,gold,"9,250 - 9,499",False,13 - 18,0 - 499,0 - 499,31.0,30-39,8-12
in_1O7oQVDOkQuZ6Q4M0VIaEVRq,10537144695,monthly,2023-11-02,2023-11-09,2023-11-06,paid,,629.0,-3.0,False,11,9,40164851.0,12,629.0,12/10/2022,0.0,9836.0,53119.0,1975-09-26,platinum,"9,750 - 10000",False,7 - 12,500 - 999,500 - 999,48.0,40-49,8-12
in_1O7oQVDOkQuZ6Q4MFziaUrQC,10880725779,monthly,2023-11-02,2023-11-09,2023-11-06,paid,,788.0,-3.0,False,11,9,328293801.0,12,788.0,10/11/2022,0.0,,86830.0,1957-08-26,silver,,False,7 - 12,500 - 999,500 - 999,66.0,60-69,8-12
in_1O7oQVDOkQuZ6Q4MhRkY4ywl,10872771246,monthly,2023-11-02,2023-11-09,2023-11-02,paid,,699.0,-7.0,False,11,9,329179601.0,12,699.0,10/11/2022,0.0,,17291.0,1977-03-24,silver,,False,7 - 12,500 - 999,500 - 999,46.0,40-49,8-12
in_1O7oQVDOkQuZ6Q4Mwp4izsXs,10884463146,monthly,2023-11-02,2023-11-09,2023-11-06,paid,,584.83,-3.0,False,11,9,329784651.0,12,579.0,11/11/2022,0.0,,,1978-12-18,platinum,,False,7 - 12,500 - 999,500 - 999,44.0,40-49,8-12
in_1O7oQWDOkQuZ6Q4MQK3QeGHG,12923340291,monthly,2023-11-02,2023-11-09,2023-11-06,paid,,464.55,-3.0,False,11,9,187423301.0,12,464.55,11/04/2023,0.0,9973.0,80804.0,1971-08-16,gold,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,52.0,50-59,8-12
in_1O7oQXDOkQuZ6Q4MK4pRWBZE,12747709188,monthly,2023-11-02,2023-11-09,2023-11-02,paid,,475.3,-7.0,False,11,9,315001301.0,6,474.05,28/03/2023,0.0,,,1971-03-30,gold,,False,0 - 6,0 - 499,0 - 499,52.0,50-59,8-12
in_1O7oWoHfRoBp5g8KFxjeRgyh,10603805571,monthly,2023-11-02,2023-11-09,2023-11-06,paid,,568.0,-3.0,False,11,9,108955601.0,12,568.0,18/10/2022,0.0,,,1975-08-21,silver,,False,7 - 12,500 - 999,500 - 999,48.0,40-49,8-12
in_1O7oWoHfRoBp5g8KQkxoQkmE,10066524777,monthly,2023-11-02,2023-11-09,2023-11-06,paid,,368.1,-3.0,False,11,9,8594551.0,12,368.1,05/09/2022,0.0,9771.0,64832.0,1970-01-02,gold,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,53.0,50-59,8-12
in_1O7oWoHfRoBp5g8Kiyg1Z9fK,12163313727,monthly,2023-11-02,2023-11-09,2023-11-06,paid,,598.0,-3.0,False,11,9,,12,598.0,15/02/2023,0.0,,,,,,False,7 - 12,500 - 999,500 - 999,,,8-12
